8,9,10,11,12,13,14,15
0,3,7,9,10,12,13,14
1,3,6,7,8,10,12,13
1,6,7,8,10,11,12,13
0,1,2,5,6,7,11,12
1,2,3,4,5,6,7,8
3,4,6,8,9,10,13,15
3,4,5,6,7,8,9,10
0,1,2,3,4,5,14,15
0,1,2,3,4,6,7,13
0,1,6,7,10,11,12,13
5,8,9,10,11,12,14,15
0,1,2,6,11,12,13,15
0,1,2,3,5,6,7,12
0,9,10,11,12,13,14,15
0,3,5,6,9,10,12,15
0,1,4,10,11,13,14,15
0,1,2,4,5,6,7,11
2,5,8,9,11,12,14,15
5,8,9,10,11,12,14,15
0,6,9,10,11,12,13,15
0,1,2,3,4,5,6,7
0,1,3,4,5,6,10,15
0,1,3,4,6,7,10,13
2,3,4,5,6,8,9,15
3,4,8,9,10,13,14,15
1,3,5,8,10,12,14,15
8,9,10,11,12,13,14,15
0,1,2,11,12,13,14,15
5,6,7,8,9,10,11,12
0,1,3,10,12,13,14,15
0,1,2,4,11,13,14,15
0,2,5,6,9,11,12,15
2,5,8,9,11,12,14,15
4,8,9,10,11,13,14,15
0,1,3,4,6,7,10,13
0,1,2,5,6,11,12,15
0,2,3,4,6,9,13,15
1,2,5,8,11,12,14,15
0,1,2,4,6,11,13,15
8,9,10,11,12,13,14,15
0,3,9,10,12,13,14,15
1,2,3,4,6,7,8,13
2,8,9,11,12,13,14,15
1,5,8,10,11,12,14,15
0,1,6,10,11,12,13,15
0,3,4,9,10,13,14,15
2,4,7,8,9,11,13,14
0,1,2,3,4,7,13,14
0,1,4,5,6,7,10,11
2,3,8,9,12,13,14,15
0,1,3,5,6,7,10,12
0,2,9,11,12,13,14,15
1,2,3,4,5,7,8,14
2,3,4,8,9,13,14,15
3,4,5,7,8,9,10,14
0,1,3,4,5,6,10,15
1,3,4,8,10,13,14,15
2,4,6,7,8,9,11,13
0,1,6,7,10,11,12,13
0,1,3,4,6,7,10,13
5,8,9,10,11,12,14,15
1,4,6,8,10,11,13,15
5,8,9,10,11,12,14,15
5,8,9,10,11,12,14,15
0,2,4,6,9,11,13,15
8,9,10,11,12,13,14,15
0,1,3,10,12,13,14,15
1,2,3,4,8,13,14,15
1,2,3,4,5,8,14,15
5,8,9,10,11,12,14,15
5,8,9,10,11,12,14,15
2,8,9,11,12,13,14,15
0,1,2,3,4,5,6,7
0,2,3,4,6,9,13,15
2,3,4,8,9,13,14,15
0,2,5,6,7,9,11,12
0,2,5,6,9,11,12,15
0,1,4,5,6,7,10,11
3,4,5,8,9,10,14,15
6,8,9,10,11,12,13,15
0,1,2,3,5,6,7,12
1,2,3,4,7,8,13,14
1,4,5,8,10,11,14,15
0,1,3,5,6,7,10,12
0,2,3,5,6,7,9,12
0,1,2,3,7,12,13,14
0,1,3,4,6,10,13,15
0,1,2,3,4,6,7,13
0,5,7,9,10,11,12,14
0,3,4,5,7,9,10,14
0,1,6,7,10,11,12,13
8,9,10,11,12,13,14,15
0,2,3,4,6,9,13,15
0,1,2,4,5,6,7,11
4,8,9,10,11,13,14,15
1,4,5,7,8,10,11,14
0,2,3,4,6,7,9,13
0,1,3,4,5,6,7,10
0,3,4,5,7,9,10,14
0,1,3,5,6,10,12,15
0,1,3,5,6,10,12,15
5,8,9,10,11,12,14,15
2,4,8,9,11,13,14,15
2,3,4,8,9,13,14,15
0,1,2,3,4,6,7,13
2,5,8,9,11,12,14,15
0,9,10,11,12,13,14,15
0,1,2,4,5,6,7,11
0,3,4,5,9,10,14,15
1,2,3,4,6,8,13,15
1,2,3,4,5,8,14,15
0,1,3,4,6,10,13,15
2,8,9,11,12,13,14,15
0,5,6,7,9,10,11,12
1,5,8,10,11,12,14,15
0,1,6,10,11,12,13,15
0,2,4,5,6,9,11,15
3,8,9,10,12,13,14,15
2,3,4,8,9,13,14,15
3,4,5,8,9,10,14,15
5,8,9,10,11,12,14,15
5,8,9,10,11,12,14,15
0,1,2,4,6,11,13,15
0,1,2,6,11,12,13,15
0,1,2,5,6,11,12,15
0,1,2,3,4,5,6,15
1,2,3,4,5,6,7,8
0,9,10,11,12,13,14,15
0,2,3,4,6,9,13,15
2,4,5,8,9,11,14,15
3,4,5,7,8,9,10,14
1,3,4,5,7,8,10,14
0,1,3,4,5,6,10,15
1,3,6,7,8,10,12,13
1,2,5,8,11,12,14,15
0,2,4,6,7,9,11,13
1,3,7,8,10,12,13,14
0,2,3,4,6,9,13,15
1,2,3,4,6,8,13,15
0,1,6,7,10,11,12,13
1,8,10,11,12,13,14,15
1,5,6,7,8,10,11,12
3,4,5,8,9,10,14,15
1,2,5,7,8,11,12,14
0,5,9,10,11,12,14,15
4,8,9,10,11,13,14,15
0,2,6,9,11,12,13,15
